,"Ignition WorkingConditions",Active Sub Function Names,Reference Paragraphs
0,Ignition Off,None,None
1,Ignition ACC,None,None
2,Ignition On,"Semi-automatic Parking SystemManagement","Semi-automatic Parking SystemManagement"
3,Ignition Pre Start,None,None
4,Ignition Start,None,None
5,Ignition Cranking,None,None
6,Ignition On Engine On,"Semi-automatic Parking SystemManagement","Semi-automatic Parking SystemManagement"
7,Ignition Pre ACC,None,None
8,Ignition Pre Off,None,None
